round_number,group_id,timestamp,price,asset,maker,taker,making_order_status,taking_order_status
2,1,35.883853,10.0,A,ommwn8ch,846kzi50,TRADED_MAKER,TRADED_TAKER
2,1,46.875155,5.0,A,96yudjm4,q155otva,TRADED_MAKER,TRADED_TAKER
2,1,57.965356,10.0,C,ommwn8ch,q155otva,TRADED_MAKER,TRADED_TAKER
2,1,58.783812,1.0,A,n7oyw5ij,n7oyw5ij,TRADED_MAKER,TRADED_TAKER
2,1,64.195636,12.0,C,wm0erxag,n7oyw5ij,TRADED_MAKER,TRADED_TAKER
2,1,65.093828,3.0,B,96yudjm4,846kzi50,TRADED_MAKER,TRADED_TAKER
2,1,68.571971,5.0,B,hqeymrev,4eohhck2,TRADED_MAKER,TRADED_TAKER
2,1,72.381214,1.0,B,846kzi50,q155otva,TRADED_MAKER,TRADED_TAKER
2,1,81.538783,3.0,C,96yudjm4,846kzi50,TRADED_MAKER,TRADED_TAKER
2,1,92.833956,5.0,C,96yudjm4,689e41vi,TRADED_MAKER,TRADED_TAKER
2,1,98.613993,10.0,A,63mkycfr,689e41vi,TRADED_MAKER,TRADED_TAKER
2,1,102.020504,5.0,A,ommwn8ch,n7oyw5ij,TRADED_MAKER,TRADED_TAKER
2,1,113.391602,5.0,B,wm0erxag,846kzi50,TRADED_MAKER,TRADED_TAKER
2,1,115.550582,2.0,A,4eohhck2,q155otva,TRADED_MAKER,TRADED_TAKER
2,1,123.962213,5.0,C,63mkycfr,846kzi50,TRADED_MAKER,TRADED_TAKER
2,1,160.365619,6.0,B,hqeymrev,4eohhck2,TRADED_MAKER,TRADED_TAKER
2,1,160.852536,10.0,A,hqeymrev,q155otva,TRADED_MAKER,TRADED_TAKER
2,1,169.018389,10.0,A,hqeymrev,7fwic0fl,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,177.273951,4.0,A,n7oyw5ij,4eohhck2,TRADED_MAKER,TRADED_TAKER
3,1,13.751627,5.0,B,4eohhck2,hqeymrev,TRADED_MAKER,TRADED_TAKER
3,1,22.102212,100.0,A,ommwn8ch,peb7g96x,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,35.241222,15.0,A,wm0erxag,7fwic0fl,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,40.374998,5.0,B,4eohhck2,wm0erxag,TRADED_MAKER,TRADED_TAKER
3,1,40.862007,10.0,B,689e41vi,7fwic0fl,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,41.761485,15.0,C,hqeymrev,peb7g96x,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,45.24748,22.0,C,63mkycfr,q155otva,TRADED_MAKER,TRADED_TAKER
3,1,53.042812,100.0,A,ommwn8ch,n7oyw5ij,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,56.647527,10.0,C,96yudjm4,846kzi50,TRADED_MAKER,TRADED_TAKER
3,1,57.590513,15.0,B,hqeymrev,4eohhck2,TRADED_MAKER,TRADED_TAKER
3,1,60.48812,5.0,C,4eohhck2,n7oyw5ij,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,61.830484,25.0,C,hqeymrev,hqeymrev,TRADED_MAKER,TRADED_TAKER
3,1,65.965633,15.0,A,peb7g96x,846kzi50,TRADED_MAKER,TRADED_TAKER
3,1,69.621095,30.0,C,hqeymrev,peb7g96x,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,80.49422,10.0,C,63mkycfr,peb7g96x,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,81.240258,25.0,A,hqeymrev,q155otva,TRADED_MAKER,TRADED_TAKER
3,1,97.92125,100.0,C,ommwn8ch,7fwic0fl,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,98.227717,20.0,B,ommwn8ch,wm0erxag,TRADED_MAKER,TRADED_TAKER
3,1,106.304462,20.0,B,96yudjm4,ommwn8ch,TRADED_MAKER,TRADED_TAKER
3,1,107.239216,25.0,C,peb7g96x,689e41vi,TRADED_MAKER,TRADED_TAKER
3,1,107.616037,10.0,C,63mkycfr,peb7g96x,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,108.08528,25.0,B,hqeymrev,7fwic0fl,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,116.439819,25.0,C,689e41vi,peb7g96x,TRADED_MAKER,TRADED_TAKER
3,1,122.435101,25.0,C,846kzi50,7fwic0fl,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,130.437501,40.0,C,hqeymrev,7fwic0fl,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,137.751406,49.0,A,ommwn8ch,689e41vi,TRADED_MAKER,TRADED_TAKER
3,1,146.024422,25.0,A,hqeymrev,q155otva,TRADED_MAKER,TRADED_TAKER
3,1,148.351776,50.0,A,96yudjm4,689e41vi,TRADED_MAKER,TRADED_TAKER
3,1,154.561761,25.0,B,846kzi50,n7oyw5ij,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,156.649574,50.0,C,846kzi50,wm0erxag,TRADED_MAKER,TRADED_TAKER
3,1,160.13364,27.0,B,63mkycfr,689e41vi,TRADED_MAKER,TRADED_TAKER
3,1,165.094313,25.0,A,peb7g96x,q155otva,TRADED_MAKER,TRADED_TAKER
4,1,17.666253,10.0,B,4eohhck2,n7oyw5ij,ACCEPTED_MAKER,ACCEPTED_TAKER
4,1,29.77254,20.0,A,hqeymrev,63mkycfr,TRADED_MAKER,TRADED_TAKER
4,1,35.327947,25.0,C,peb7g96x,q155otva,TRADED_MAKER,TRADED_TAKER
4,1,37.577446,30.0,A,q155otva,n7oyw5ij,ACCEPTED_MAKER,ACCEPTED_TAKER
4,1,40.87807,30.0,C,hqeymrev,4eohhck2,TRADED_MAKER,TRADED_TAKER
4,1,50.967552,35.0,B,q155otva,689e41vi,TRADED_MAKER,TRADED_TAKER
4,1,90.78163,50.0,C,689e41vi,n7oyw5ij,ACCEPTED_MAKER,ACCEPTED_TAKER
4,1,101.576246,145.0,D,bot-ETFMakerBot-274,689e41vi,TRADED_MAKER,TRADED_TAKER
4,1,101.768324,35.0,A,hqeymrev,bot-ETFMakerBot-274,MARKET_MAKER,MARKET_TAKER
4,1,101.888682,32.0,A,hqeymrev,bot-ETFMakerBot-274,MARKET_MAKER,MARKET_TAKER
4,1,102.020513,45.0,A,q155otva,bot-ETFMakerBot-274,MARKET_MAKER,MARKET_TAKER
4,1,102.144755,21.0,A,7fwic0fl,bot-ETFMakerBot-274,MARKET_MAKER,MARKET_TAKER
4,1,102.263178,49.0,A,ommwn8ch,bot-ETFMakerBot-274,MARKET_MAKER,MARKET_TAKER
4,1,102.361231,20.0,A,peb7g96x,bot-ETFMakerBot-274,MARKET_MAKER,MARKET_TAKER
4,1,102.481307,60.0,A,n7oyw5ij,bot-ETFMakerBot-274,MARKET_MAKER,MARKET_TAKER
4,1,102.573044,20.0,A,96yudjm4,bot-ETFMakerBot-274,MARKET_MAKER,MARKET_TAKER
4,1,102.699176,100.0,A,846kzi50,bot-ETFMakerBot-274,MARKET_MAKER,MARKET_TAKER
4,1,102.802314,20.0,A,peb7g96x,bot-ETFMakerBot-274,MARKET_MAKER,MARKET_TAKER
4,1,102.93262,30.0,C,846kzi50,bot-ETFMakerBot-274,MARKET_MAKER,MARKET_TAKER
4,1,103.042909,20.0,A,wm0erxag,bot-ETFMakerBot-274,MARKET_MAKER,MARKET_TAKER
4,1,103.146059,80.0,C,n7oyw5ij,bot-ETFMakerBot-274,MARKET_MAKER,MARKET_TAKER
4,1,103.243855,10.0,A,wm0erxag,bot-ETFMakerBot-274,MARKET_MAKER,MARKET_TAKER
4,1,103.352605,80.0,C,846kzi50,bot-ETFMakerBot-274,MARKET_MAKER,MARKET_TAKER
4,1,103.459629,10.0,A,96yudjm4,bot-ETFMakerBot-274,MARKET_MAKER,MARKET_TAKER
4,1,103.602698,99.0,C,ommwn8ch,bot-ETFMakerBot-274,MARKET_MAKER,MARKET_TAKER
4,1,103.706095,5.0,A,846kzi50,bot-ETFMakerBot-274,MARKET_MAKER,MARKET_TAKER
4,1,103.8148,100.0,C,ommwn8ch,bot-ETFMakerBot-274,MARKET_MAKER,MARKET_TAKER
4,1,103.924,5.0,A,846kzi50,bot-ETFMakerBot-274,MARKET_MAKER,MARKET_TAKER
4,1,104.038438,100.0,C,846kzi50,bot-ETFMakerBot-274,MARKET_MAKER,MARKET_TAKER
4,1,104.136329,1.0,A,846kzi50,bot-ETFMakerBot-274,MARKET_MAKER,MARKET_TAKER
4,1,104.2854,20.0,C,96yudjm4,bot-ETFMakerBot-274,MARKET_MAKER,MARKET_TAKER
4,1,104.460741,15.0,C,7fwic0fl,bot-ETFMakerBot-274,MARKET_MAKER,MARKET_TAKER
4,1,104.669225,15.0,C,peb7g96x,bot-ETFMakerBot-274,MARKET_MAKER,MARKET_TAKER
4,1,104.851189,15.0,C,peb7g96x,bot-ETFMakerBot-274,MARKET_MAKER,MARKET_TAKER
4,1,105.075972,15.0,C,63mkycfr,bot-ETFMakerBot-274,MARKET_MAKER,MARKET_TAKER
4,1,105.246272,10.0,C,96yudjm4,bot-ETFMakerBot-274,MARKET_MAKER,MARKET_TAKER
4,1,105.459684,10.0,C,96yudjm4,bot-ETFMakerBot-274,MARKET_MAKER,MARKET_TAKER
4,1,105.62421,5.0,C,4eohhck2,bot-ETFMakerBot-274,MARKET_MAKER,MARKET_TAKER
4,1,105.837762,5.0,C,63mkycfr,bot-ETFMakerBot-274,MARKET_MAKER,MARKET_TAKER
4,1,106.013839,2.0,C,846kzi50,bot-ETFMakerBot-274,MARKET_MAKER,MARKET_TAKER
4,1,106.219418,1.0,C,846kzi50,bot-ETFMakerBot-274,MARKET_MAKER,MARKET_TAKER
4,1,107.764622,20.0,A,846kzi50,63mkycfr,TRADED_MAKER,TRADED_TAKER
4,1,116.515673,40.0,A,peb7g96x,hqeymrev,TRADED_MAKER,TRADED_TAKER
4,1,121.379815,40.0,A,wm0erxag,846kzi50,TRADED_MAKER,TRADED_TAKER
4,1,121.60837,25.0,A,63mkycfr,n7oyw5ij,ACCEPTED_MAKER,ACCEPTED_TAKER
4,1,131.40008,30.0,B,4eohhck2,n7oyw5ij,ACCEPTED_MAKER,ACCEPTED_TAKER
4,1,139.484876,50.0,C,hqeymrev,n7oyw5ij,ACCEPTED_MAKER,ACCEPTED_TAKER
4,1,140.905405,26.0,B,7fwic0fl,ommwn8ch,ACCEPTED_MAKER,ACCEPTED_TAKER
4,1,143.12524,200.0,D,bot-ETFMakerBot-274,n7oyw5ij,ACCEPTED_MAKER,ACCEPTED_TAKER
4,1,143.23857,50.0,A,q155otva,bot-ETFMakerBot-274,MARKET_MAKER,MARKET_TAKER
4,1,143.357617,20.0,A,96yudjm4,bot-ETFMakerBot-274,MARKET_MAKER,MARKET_TAKER
4,1,143.489109,50.0,C,4eohhck2,bot-ETFMakerBot-274,MARKET_MAKER,MARKET_TAKER
4,1,143.618608,10.0,A,689e41vi,bot-ETFMakerBot-274,MARKET_MAKER,MARKET_TAKER
4,1,143.750716,100.0,C,ommwn8ch,bot-ETFMakerBot-274,MARKET_MAKER,MARKET_TAKER
4,1,143.868287,5.0,A,846kzi50,bot-ETFMakerBot-274,MARKET_MAKER,MARKET_TAKER
4,1,143.982476,100.0,C,846kzi50,bot-ETFMakerBot-274,MARKET_MAKER,MARKET_TAKER
4,1,144.098217,22.0,C,wm0erxag,bot-ETFMakerBot-274,MARKET_MAKER,MARKET_TAKER
4,1,144.251678,20.0,C,96yudjm4,bot-ETFMakerBot-274,MARKET_MAKER,MARKET_TAKER
4,1,144.486899,20.0,C,846kzi50,bot-ETFMakerBot-274,MARKET_MAKER,MARKET_TAKER
4,1,144.633481,20.0,C,peb7g96x,bot-ETFMakerBot-274,MARKET_MAKER,MARKET_TAKER
4,1,144.863281,20.0,C,peb7g96x,bot-ETFMakerBot-274,MARKET_MAKER,MARKET_TAKER
4,1,145.30407,25.0,B,hqeymrev,ommwn8ch,ACCEPTED_MAKER,ACCEPTED_TAKER
4,1,156.79872,20.0,C,peb7g96x,689e41vi,TRADED_MAKER,TRADED_TAKER
4,1,188.693832,39.0,B,ommwn8ch,7fwic0fl,ACCEPTED_MAKER,ACCEPTED_TAKER
4,1,199.513775,10.0,B,63mkycfr,n7oyw5ij,ACCEPTED_MAKER,ACCEPTED_TAKER
4,1,208.221712,38.0,B,689e41vi,hqeymrev,TRADED_MAKER,TRADED_TAKER
4,1,218.037932,40.0,A,peb7g96x,wm0erxag,TRADED_MAKER,TRADED_TAKER
4,1,219.148829,50.0,C,846kzi50,4eohhck2,TRADED_MAKER,TRADED_TAKER
4,1,235.932839,38.0,B,hqeymrev,n7oyw5ij,ACCEPTED_MAKER,ACCEPTED_TAKER
4,1,239.482251,40.0,A,689e41vi,846kzi50,TRADED_MAKER,TRADED_TAKER
4,1,241.618775,40.0,B,846kzi50,n7oyw5ij,ACCEPTED_MAKER,ACCEPTED_TAKER
4,1,265.029549,25.0,C,q155otva,63mkycfr,TRADED_MAKER,TRADED_TAKER
4,1,271.551962,25.0,C,63mkycfr,7fwic0fl,TRADED_MAKER,TRADED_TAKER
4,1,291.098315,35.0,B,96yudjm4,wm0erxag,TRADED_MAKER,TRADED_TAKER
5,1,11.357362,20.0,C,wm0erxag,846kzi50,TRADED_MAKER,TRADED_TAKER
5,1,13.884441,20.0,A,4eohhck2,846kzi50,TRADED_MAKER,TRADED_TAKER
5,1,23.945219,30.0,C,hqeymrev,wm0erxag,TRADED_MAKER,TRADED_TAKER
5,1,34.858068,30.0,C,4eohhck2,846kzi50,TRADED_MAKER,TRADED_TAKER
5,1,39.531923,25.0,C,ommwn8ch,846kzi50,TRADED_MAKER,TRADED_TAKER
5,1,43.084039,25.0,B,4eohhck2,689e41vi,TRADED_MAKER,TRADED_TAKER
5,1,50.148833,20.0,A,hqeymrev,peb7g96x,TRADED_MAKER,TRADED_TAKER
5,1,55.735896,20.0,B,hqeymrev,wm0erxag,TRADED_MAKER,TRADED_TAKER
5,1,58.331407,50.0,B,846kzi50,n7oyw5ij,ACCEPTED_MAKER,ACCEPTED_TAKER
5,1,65.180862,30.0,B,4eohhck2,wm0erxag,TRADED_MAKER,TRADED_TAKER
5,1,70.870395,40.0,C,n7oyw5ij,689e41vi,TRADED_MAKER,TRADED_TAKER
5,1,80.005757,30.0,B,ommwn8ch,n7oyw5ij,ACCEPTED_MAKER,ACCEPTED_TAKER
5,1,80.347141,30.0,B,ommwn8ch,q155otva,TRADED_MAKER,TRADED_TAKER
5,1,89.553255,21.0,A,7fwic0fl,hqeymrev,TRADED_MAKER,TRADED_TAKER
5,1,92.829874,20.0,B,846kzi50,wm0erxag,TRADED_MAKER,TRADED_TAKER
5,1,94.610228,10.0,B,63mkycfr,n7oyw5ij,TRADED_MAKER,TRADED_TAKER
5,1,98.553431,10.0,B,846kzi50,n7oyw5ij,TRADED_MAKER,TRADED_TAKER
5,1,102.727262,30.0,C,hqeymrev,q155otva,TRADED_MAKER,TRADED_TAKER
5,1,118.589804,30.0,B,ommwn8ch,n7oyw5ij,ACCEPTED_MAKER,ACCEPTED_TAKER
5,1,120.534508,45.0,A,q155otva,n7oyw5ij,ACCEPTED_MAKER,ACCEPTED_TAKER
5,1,131.431417,45.0,A,q155otva,n7oyw5ij,ACCEPTED_MAKER,ACCEPTED_TAKER
5,1,136.78075,40.0,A,7fwic0fl,n7oyw5ij,ACCEPTED_MAKER,ACCEPTED_TAKER
