round_number,group_id,timestamp,price,asset,maker,taker,making_order_status,taking_order_status
1,1,32.581492,1.0,A,xkwj8467,mpfopr6l,TRADED_MAKER,TRADED_TAKER
1,1,41.099618,70.0,C,yqfmbgyl,c44ivrtc,TRADED_MAKER,TRADED_TAKER
1,1,58.358436,20.0,A,w15cjtqk,zbw2rqsb,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,62.191103,60.0,B,yqfmbgyl,c44ivrtc,TRADED_MAKER,TRADED_TAKER
1,1,72.85903,40.0,A,c44ivrtc,1vsdyl7l,TRADED_MAKER,TRADED_TAKER
1,1,97.230986,80.0,B,96cjnzkf,bnbmxr0u,TRADED_MAKER,TRADED_TAKER
1,1,102.612925,50.0,B,96cjnzkf,xkwj8467,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,124.787353,70.0,C,xkwj8467,zbw2rqsb,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,125.754287,225.0,D,bot-ETFMakerBot-231,c44ivrtc,TRADED_MAKER,TRADED_TAKER
1,1,125.860201,65.0,A,1vsdyl7l,bot-ETFMakerBot-231,MARKET_MAKER,MARKET_TAKER
1,1,125.979085,30.0,A,96cjnzkf,bot-ETFMakerBot-231,MARKET_MAKER,MARKET_TAKER
1,1,126.096355,70.0,A,c44ivrtc,bot-ETFMakerBot-231,MARKET_MAKER,MARKET_TAKER
1,1,126.198414,20.0,A,mpfopr6l,bot-ETFMakerBot-231,MARKET_MAKER,MARKET_TAKER
1,1,126.317511,85.0,B,p5mud06n,bot-ETFMakerBot-231,MARKET_MAKER,MARKET_TAKER
1,1,126.421268,20.0,A,xkwj8467,bot-ETFMakerBot-231,MARKET_MAKER,MARKET_TAKER
1,1,126.525713,75.0,C,p5mud06n,bot-ETFMakerBot-231,MARKET_MAKER,MARKET_TAKER
1,1,126.636264,50.0,C,96cjnzkf,bot-ETFMakerBot-231,MARKET_MAKER,MARKET_TAKER
1,1,126.762649,90.0,C,bnbmxr0u,bot-ETFMakerBot-231,MARKET_MAKER,MARKET_TAKER
1,1,126.871802,21.0,C,yqfmbgyl,bot-ETFMakerBot-231,MARKET_MAKER,MARKET_TAKER
1,1,145.184745,60.0,A,c44ivrtc,bnbmxr0u,TRADED_MAKER,TRADED_TAKER
1,1,159.79934,60.0,A,bnbmxr0u,w15cjtqk,TRADED_MAKER,TRADED_TAKER
1,1,172.746523,59.0,B,yqfmbgyl,1vsdyl7l,TRADED_MAKER,TRADED_TAKER
1,1,175.494153,50.0,B,96cjnzkf,yqfmbgyl,TRADED_MAKER,TRADED_TAKER
1,1,176.09303,70.0,A,mpfopr6l,w15cjtqk,TRADED_MAKER,TRADED_TAKER
2,1,8.208126,60.0,A,1vsdyl7l,xkwj8467,TRADED_MAKER,TRADED_TAKER
2,1,18.644937,50.0,C,yqfmbgyl,mpfopr6l,TRADED_MAKER,TRADED_TAKER
2,1,21.627068,190.0,D,bot-ETFMakerBot-232,w15cjtqk,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,21.731485,70.0,A,w15cjtqk,bot-ETFMakerBot-232,MARKET_MAKER,MARKET_TAKER
2,1,21.842022,50.0,C,96cjnzkf,bot-ETFMakerBot-232,MARKET_MAKER,MARKET_TAKER
2,1,21.958736,80.0,A,c44ivrtc,bot-ETFMakerBot-232,MARKET_MAKER,MARKET_TAKER
2,1,22.093909,60.0,B,bnbmxr0u,bot-ETFMakerBot-232,MARKET_MAKER,MARKET_TAKER
2,1,22.225309,60.0,C,bnbmxr0u,bot-ETFMakerBot-232,MARKET_MAKER,MARKET_TAKER
2,1,27.486559,55.0,B,yqfmbgyl,96cjnzkf,TRADED_MAKER,TRADED_TAKER
2,1,32.400098,61.0,A,p5mud06n,xkwj8467,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,46.43862,182.0,D,bot-ETFMakerBot-232,c44ivrtc,TRADED_MAKER,TRADED_TAKER
2,1,46.537772,75.0,A,1vsdyl7l,bot-ETFMakerBot-232,MARKET_MAKER,MARKET_TAKER
2,1,46.654043,55.0,B,bnbmxr0u,bot-ETFMakerBot-232,MARKET_MAKER,MARKET_TAKER
2,1,46.755606,75.0,B,96cjnzkf,bot-ETFMakerBot-232,MARKET_MAKER,MARKET_TAKER
2,1,46.91557,32.0,C,xkwj8467,bot-ETFMakerBot-232,MARKET_MAKER,MARKET_TAKER
2,1,47.088214,75.0,B,p5mud06n,bot-ETFMakerBot-232,MARKET_MAKER,MARKET_TAKER
2,1,47.232273,80.0,C,c44ivrtc,bot-ETFMakerBot-232,MARKET_MAKER,MARKET_TAKER
2,1,62.91071,250.0,D,w15cjtqk,yqfmbgyl,TRADED_MAKER,TRADED_TAKER
2,1,72.880686,65.0,C,p5mud06n,1vsdyl7l,TRADED_MAKER,TRADED_TAKER
2,1,74.248947,65.0,A,96cjnzkf,yqfmbgyl,TRADED_MAKER,TRADED_TAKER
2,1,87.632951,50.0,C,xkwj8467,yqfmbgyl,TRADED_MAKER,TRADED_TAKER
2,1,88.567115,70.0,A,w15cjtqk,1vsdyl7l,TRADED_MAKER,TRADED_TAKER
2,1,93.215218,60.0,C,bnbmxr0u,xkwj8467,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,97.789593,75.0,A,p5mud06n,yqfmbgyl,TRADED_MAKER,TRADED_TAKER
2,1,106.032427,120.0,D,xkwj8467,yqfmbgyl,TRADED_MAKER,TRADED_TAKER
2,1,117.703349,70.0,C,mpfopr6l,bnbmxr0u,TRADED_MAKER,TRADED_TAKER
2,1,118.708828,75.0,C,1vsdyl7l,xkwj8467,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,120.107999,50.0,A,yqfmbgyl,zbw2rqsb,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,128.805352,50.0,B,yqfmbgyl,zbw2rqsb,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,133.786664,30.0,A,xkwj8467,1vsdyl7l,TRADED_MAKER,TRADED_TAKER
2,1,140.860158,40.0,B,xkwj8467,1vsdyl7l,TRADED_MAKER,TRADED_TAKER
2,1,142.537594,55.0,A,96cjnzkf,w15cjtqk,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,146.089,60.0,A,bnbmxr0u,c44ivrtc,TRADED_MAKER,TRADED_TAKER
