"round","time_entered","asset","take_id","make_id","tiempo","ex_price","tre","session","make_pcode","take_pcode","make_isbid","isBot","maker_isBot","taker_isBot"
1,4.721891,1,687,681,4.721891,50,2,"fbyj5j85","6dkp9vft","qnnsnnx3","FALSE",FALSE,FALSE,FALSE
1,9.870089,1,693,689,9.870089,65,2,"fbyj5j85","iwll3tn6","bot-ETFMakerBot-26","FALSE",TRUE,FALSE,TRUE
1,13.635382,1,703,696,13.635382,50,2,"fbyj5j85","u0zzxjlz","rimb6i11","FALSE",FALSE,FALSE,FALSE
1,14.607071,1,706,690,14.607071,70,2,"fbyj5j85","cxita81q","7n0uu9z0","FALSE",FALSE,FALSE,FALSE
1,18.377531,1,710,708,18.377531,60,2,"fbyj5j85","9l9j1rcs","7n0uu9z0","FALSE",FALSE,FALSE,FALSE
1,18.865394,1,713,709,18.865394,65,2,"fbyj5j85","iwll3tn6","bot-ETFMakerBot-26","FALSE",TRUE,FALSE,TRUE
1,19.529197,1,716,697,19.529197,70,2,"fbyj5j85","cxita81q","7n0uu9z0","FALSE",FALSE,FALSE,FALSE
1,26.686399,1,721,719,26.686399,50,2,"fbyj5j85","qnnsnnx3","4lmai1pv","TRUE",FALSE,FALSE,FALSE
1,49.534337,1,748,743,49.534337,55,2,"fbyj5j85","k2plppsj","bot-ETFMakerBot-26","FALSE",TRUE,FALSE,TRUE
1,51.723294,1,756,754,51.723294,50,2,"fbyj5j85","nfzbiawv","4lmai1pv","TRUE",FALSE,FALSE,FALSE
1,60.540506,1,767,744,60.540506,55,2,"fbyj5j85","k2plppsj","cxita81q","FALSE",FALSE,FALSE,FALSE
1,62.028865,1,769,766,62.028865,55,2,"fbyj5j85","rimb6i11","cxita81q","FALSE",FALSE,FALSE,FALSE
1,70.918533,1,786,717,70.918533,60,2,"fbyj5j85","x2tq7b0u","bot-ETFMakerBot-26","FALSE",TRUE,FALSE,TRUE
1,71.520591,1,789,773,71.520591,60,2,"fbyj5j85","9l9j1rcs","6dkp9vft","FALSE",FALSE,FALSE,FALSE
1,81.965724,1,799,779,81.965724,60,2,"fbyj5j85","qnnsnnx3","v1axqnpu","FALSE",FALSE,FALSE,FALSE
1,85.525306,1,807,777,85.525306,70,2,"fbyj5j85","cxita81q","x2tq7b0u","FALSE",FALSE,FALSE,FALSE
1,87.362875,1,809,780,87.362875,70,2,"fbyj5j85","cxita81q","bot-ETFMakerBot-26","FALSE",TRUE,FALSE,TRUE
1,93.026967,1,819,816,93.026967,80,2,"fbyj5j85","iwll3tn6","bot-ETFMakerBot-26","FALSE",TRUE,FALSE,TRUE
1,121.99075,1,846,842,121.99075,60,2,"fbyj5j85","k2plppsj","bot-ETFMakerBot-26","FALSE",TRUE,FALSE,TRUE
1,161.055506,1,890,875,161.055506,80,2,"fbyj5j85","rimb6i11","bot-ETFMakerBot-26","FALSE",TRUE,FALSE,TRUE
1,168.268155,1,900,894,168.268155,75,2,"fbyj5j85","7n0uu9z0","4lmai1pv","FALSE",FALSE,FALSE,FALSE
1,180.304172,1,919,856,180.304172,60,2,"fbyj5j85","v1axqnpu","9l9j1rcs","TRUE",FALSE,FALSE,FALSE
1,180.740537,1,921,908,180.740537,70,2,"fbyj5j85","qnnsnnx3","v1axqnpu","FALSE",FALSE,FALSE,FALSE
1,193.662029,1,937,924,193.662029,50,2,"fbyj5j85","k2plppsj","ure1nez5","TRUE",FALSE,FALSE,FALSE
1,232.53056,1,959,938,232.53056,60,2,"fbyj5j85","v1axqnpu","rimb6i11","TRUE",FALSE,FALSE,FALSE
1,265.977221,1,982,973,265.977221,60,2,"fbyj5j85","v1axqnpu","4lmai1pv","TRUE",FALSE,FALSE,FALSE
1,275.512702,1,994,975,275.512702,70,2,"fbyj5j85","4lmai1pv","bot-ETFMakerBot-26","FALSE",TRUE,FALSE,TRUE
1,277.735468,1,999,948,277.735468,79,2,"fbyj5j85","7n0uu9z0","4lmai1pv","FALSE",FALSE,FALSE,FALSE
1,296.337109,1,1011,986,296.337109,69,2,"fbyj5j85","rimb6i11","qnnsnnx3","TRUE",FALSE,FALSE,FALSE
1,296.882492,1,1014,1002,296.882492,80,2,"fbyj5j85","6dkp9vft","bot-ETFMakerBot-26","FALSE",TRUE,FALSE,TRUE
1,47.923571,2,745,735,47.923571,45,2,"fbyj5j85","iwll3tn6","6dkp9vft","FALSE",FALSE,FALSE,FALSE
1,56.801108,2,765,722,56.801108,30,2,"fbyj5j85","qnnsnnx3","k6m2dsm0","TRUE",FALSE,FALSE,FALSE
1,65.144461,2,776,772,65.144461,30,2,"fbyj5j85","v1axqnpu","ure1nez5","TRUE",FALSE,FALSE,FALSE
1,74.257221,2,790,762,74.257221,49,2,"fbyj5j85","k2plppsj","cxita81q","FALSE",FALSE,FALSE,FALSE
1,83.921904,2,804,720,83.921904,50,2,"fbyj5j85","9l9j1rcs","6dkp9vft","FALSE",FALSE,FALSE,FALSE
1,95.844604,2,824,793,95.844604,30,2,"fbyj5j85","v1axqnpu","u0zzxjlz","TRUE",FALSE,FALSE,FALSE
1,100.042524,2,828,728,100.042524,25,2,"fbyj5j85","9l9j1rcs","u0zzxjlz","TRUE",FALSE,FALSE,FALSE
1,104.566107,2,832,682,104.566107,20,2,"fbyj5j85","9l9j1rcs","u0zzxjlz","TRUE",FALSE,FALSE,FALSE
1,116.525327,2,839,737,116.525327,50,2,"fbyj5j85","x2tq7b0u","6dkp9vft","FALSE",FALSE,FALSE,FALSE
1,121.428087,2,844,783,121.428087,50,2,"fbyj5j85","qnnsnnx3","k6m2dsm0","FALSE",FALSE,FALSE,FALSE
1,152.521924,2,882,866,152.521924,45,2,"fbyj5j85","x2tq7b0u","v1axqnpu","FALSE",FALSE,FALSE,FALSE
1,174.070279,2,913,852,174.070279,49,2,"fbyj5j85","qnnsnnx3","7n0uu9z0","FALSE",FALSE,FALSE,FALSE
1,182.985852,2,923,798,182.985852,10,2,"fbyj5j85","k6m2dsm0","ure1nez5","TRUE",FALSE,FALSE,FALSE
1,191.255765,2,931,928,191.255765,40,2,"fbyj5j85","nfzbiawv","6dkp9vft","FALSE",FALSE,FALSE,FALSE
1,192.337466,2,935,855,192.337466,49,2,"fbyj5j85","qnnsnnx3","4lmai1pv","FALSE",FALSE,FALSE,FALSE
1,217.446005,2,951,946,217.446005,40,2,"fbyj5j85","k6m2dsm0","v1axqnpu","FALSE",FALSE,FALSE,FALSE
1,219.551266,2,954,947,219.551266,40,2,"fbyj5j85","k6m2dsm0","v1axqnpu","FALSE",FALSE,FALSE,FALSE
1,224.97121,2,955,862,224.97121,49,2,"fbyj5j85","rimb6i11","k2plppsj","FALSE",FALSE,FALSE,FALSE
1,230.631799,2,957,956,230.631799,40,2,"fbyj5j85","nfzbiawv","6dkp9vft","FALSE",FALSE,FALSE,FALSE
1,251.23573,2,972,965,251.23573,40,2,"fbyj5j85","qnnsnnx3","rimb6i11","FALSE",FALSE,FALSE,FALSE
1,9.985063,3,694,686,9.985063,50,2,"fbyj5j85","6dkp9vft","bot-ETFMakerBot-26","FALSE",TRUE,FALSE,TRUE
1,10.103207,3,695,691,10.103207,50,2,"fbyj5j85","k2plppsj","bot-ETFMakerBot-26","FALSE",TRUE,FALSE,TRUE
1,18.976064,3,714,711,18.976064,50,2,"fbyj5j85","u0zzxjlz","bot-ETFMakerBot-26","FALSE",TRUE,FALSE,TRUE
1,19.097658,3,715,701,19.097658,75,2,"fbyj5j85","iwll3tn6","bot-ETFMakerBot-26","FALSE",TRUE,FALSE,TRUE
1,31.2389,3,729,724,31.2389,75,2,"fbyj5j85","rimb6i11","cxita81q","FALSE",FALSE,FALSE,FALSE
1,49.666917,3,749,746,49.666917,75,2,"fbyj5j85","rqov47g0","bot-ETFMakerBot-26","FALSE",TRUE,FALSE,TRUE
1,49.765836,3,750,739,49.765836,80,2,"fbyj5j85","k6m2dsm0","bot-ETFMakerBot-26","FALSE",TRUE,FALSE,TRUE
1,62.36749,3,770,733,62.36749,51,2,"fbyj5j85","qnnsnnx3","k6m2dsm0","TRUE",FALSE,FALSE,FALSE
1,66.142622,3,778,726,66.142622,50,2,"fbyj5j85","nfzbiawv","u0zzxjlz","TRUE",FALSE,FALSE,FALSE
1,71.053754,3,787,784,71.053754,50,2,"fbyj5j85","u0zzxjlz","bot-ETFMakerBot-26","FALSE",TRUE,FALSE,TRUE
1,71.163741,3,788,752,71.163741,100,2,"fbyj5j85","qnnsnnx3","bot-ETFMakerBot-26","FALSE",TRUE,FALSE,TRUE
1,87.461104,3,810,792,87.461104,80,2,"fbyj5j85","x2tq7b0u","bot-ETFMakerBot-26","FALSE",TRUE,FALSE,TRUE
1,87.603074,3,811,801,87.603074,100,2,"fbyj5j85","qnnsnnx3","bot-ETFMakerBot-26","FALSE",TRUE,FALSE,TRUE
1,93.135528,3,820,817,93.135528,80,2,"fbyj5j85","v1axqnpu","bot-ETFMakerBot-26","FALSE",TRUE,FALSE,TRUE
1,93.254434,3,821,805,93.254434,100,2,"fbyj5j85","qnnsnnx3","bot-ETFMakerBot-26","FALSE",TRUE,FALSE,TRUE
1,122.132342,3,847,831,122.132342,80,2,"fbyj5j85","nfzbiawv","bot-ETFMakerBot-26","FALSE",TRUE,FALSE,TRUE
1,122.335605,3,848,836,122.335605,80,2,"fbyj5j85","v1axqnpu","bot-ETFMakerBot-26","FALSE",TRUE,FALSE,TRUE
1,145.068733,3,873,868,145.068733,40,2,"fbyj5j85","nfzbiawv","v1axqnpu","FALSE",FALSE,FALSE,FALSE
1,154.015929,3,883,877,154.015929,50,2,"fbyj5j85","9l9j1rcs","6dkp9vft","FALSE",FALSE,FALSE,FALSE
1,157.058282,3,886,880,157.058282,60,2,"fbyj5j85","nfzbiawv","v1axqnpu","FALSE",FALSE,FALSE,FALSE
1,161.182363,3,891,863,161.182363,90,2,"fbyj5j85","v1axqnpu","bot-ETFMakerBot-26","FALSE",TRUE,FALSE,TRUE
1,161.306398,3,892,860,161.306398,100,2,"fbyj5j85","x2tq7b0u","bot-ETFMakerBot-26","FALSE",TRUE,FALSE,TRUE
1,169.680008,3,904,897,169.680008,90,2,"fbyj5j85","6dkp9vft","x2tq7b0u","FALSE",FALSE,FALSE,FALSE
1,172.989787,3,910,902,172.989787,80,2,"fbyj5j85","v1axqnpu","x2tq7b0u","FALSE",FALSE,FALSE,FALSE
1,204.29348,3,942,933,204.29348,30,2,"fbyj5j85","7n0uu9z0","ure1nez5","TRUE",FALSE,FALSE,FALSE
1,246.685666,3,968,962,246.685666,80,2,"fbyj5j85","v1axqnpu","k2plppsj","FALSE",FALSE,FALSE,FALSE
1,275.619306,3,995,989,275.619306,60,2,"fbyj5j85","7n0uu9z0","bot-ETFMakerBot-26","FALSE",TRUE,FALSE,TRUE
1,275.717838,3,996,980,275.717838,80,2,"fbyj5j85","rqov47g0","bot-ETFMakerBot-26","FALSE",TRUE,FALSE,TRUE
1,297.010139,3,1015,1008,297.010139,50,2,"fbyj5j85","nfzbiawv","bot-ETFMakerBot-26","FALSE",TRUE,FALSE,TRUE
1,297.113857,3,1016,991,297.113857,80,2,"fbyj5j85","cxita81q","bot-ETFMakerBot-26","FALSE",TRUE,FALSE,TRUE
1,9.754319,4,692,685,9.754319,210,2,"fbyj5j85","u0zzxjlz","bot-ETFMakerBot-26","TRUE",TRUE,FALSE,TRUE
1,18.758021,4,712,700,18.758021,200,2,"fbyj5j85","k6m2dsm0","bot-ETFMakerBot-26","TRUE",TRUE,FALSE,TRUE
1,39.222168,4,738,731,39.222168,250,2,"fbyj5j85","u0zzxjlz","cxita81q","FALSE",FALSE,FALSE,FALSE
1,49.39971,4,747,723,49.39971,220,2,"fbyj5j85","k2plppsj","bot-ETFMakerBot-26","TRUE",TRUE,FALSE,TRUE
1,55.762751,4,763,759,55.762751,270,2,"fbyj5j85","cxita81q","rqov47g0","FALSE",FALSE,FALSE,FALSE
1,67.033315,4,781,768,67.033315,300,2,"fbyj5j85","rqov47g0","iwll3tn6","FALSE",FALSE,FALSE,FALSE
