"sess","tre","r","activo","i","ordenes_compra","ordenes_venta","bb","bo","precio","dete","dete_a","z","dt"
"fbyj5j85",2,1,1,1,1,1,50,50,50,1,1,0,0
"fbyj5j85",2,1,1,2,0,1.9509900499,NA,65,NA,0,1,-1.9509900499,0
"fbyj5j85",2,1,1,3,1.57976599922426,3.61867024705755,65,50,65,1,2,-2.03890424783329,0
"fbyj5j85",2,1,1,4,2.44494963608148,4.66413627492641,70,50,60,2,4,-2.21918663884493,0
"fbyj5j85",2,1,1,5,3.50698616693754,3.8529701497,70,60,65,3,7,-0.34598398276246,0
"fbyj5j85",2,1,1,6,1.61996180846968,0.9509900499,50,60,NA,0,7,0.66897175856968,0
"fbyj5j85",2,1,1,7,1.70344769499957,1.9043820750088,50,50,50,-1,6,-0.20093438000923,0
"fbyj5j85",2,1,1,8,0.797612365791724,1.4836055447561,15,60,NA,0,6,-0.685993178964376,0
"fbyj5j85",2,1,1,9,1.49053476878604,1.4836055447561,15,60,NA,0,6,0.0069292240299399,0
"fbyj5j85",2,1,1,10,1.49053476878604,1.4836055447561,15,60,NA,0,6,0.0069292240299399,0
"fbyj5j85",2,1,1,11,1.49053476878604,1.4836055447561,15,60,NA,0,6,0.0069292240299399,0
"fbyj5j85",2,1,1,12,1.52846016486952,3.08260699316329,15,55,NA,0,6,-1.55414682829377,0
"fbyj5j85",2,1,1,13,3.23232125499415,5.27096717347987,55,50,51.6666666666667,1,7,-2.03864591848572,0
"fbyj5j85",2,1,1,14,2.25713406788596,3.32059279926348,50,55,NA,0,7,-1.06345873137752,0
"fbyj5j85",2,1,1,15,3.20112822258779,4.4050824735611,55,55,55,1,8,-1.20395425097331,0
"fbyj5j85",2,1,1,16,4.20112822258779,4.3560725234611,55,55,55,1,9,-0.154944300873311,0
"fbyj5j85",2,1,1,17,3.12169922695805,6.18053576002835,55,60,NA,0,9,-3.0588365330703,0
"fbyj5j85",2,1,1,18,4.09325103823506,6.33779426322858,60,60,60,2,11,-2.24454322499352,0
"fbyj5j85",2,1,1,19,2.20112822258779,4.12519918284368,50,60,NA,0,11,-1.92407096025589,0
"fbyj5j85",2,1,1,20,2.20112822258779,3.30729224524645,50,60,NA,0,11,-1.10616402265866,0
"fbyj5j85",2,1,1,21,3.09325103823506,3.47773590858729,60,60,60,1,12,-0.38448487035223,0
"fbyj5j85",2,1,1,22,3.89309871747336,2.73970037338828,70,70,70,2,14,1.15339834408508,0
"fbyj5j85",2,1,1,23,2.71208454630506,1.81790693759723,80,80,80,0,14,0.89417760870783,0
"fbyj5j85",2,1,1,24,2.37567279377254,0.777821359399147,50,100,NA,0,14,1.59785143437339,0
"fbyj5j85",2,1,1,25,3.82599746845769,0.817906937597231,50,90,NA,0,14,3.00809053086046,0
"fbyj5j85",2,1,1,26,3.82599746845769,0.817906937597231,50,90,NA,0,14,3.00809053086046,0
"fbyj5j85",2,1,1,27,3.82599746845769,0.817906937597231,50,90,NA,0,14,3.00809053086046,0
"fbyj5j85",2,1,1,28,3.82599746845769,0.817906937597231,50,90,NA,0,14,3.00809053086046,0
"fbyj5j85",2,1,1,29,3.82599746845769,0.817906937597231,50,90,NA,0,14,3.00809053086046,0
"fbyj5j85",2,1,1,30,4.44853241388886,2.39413811828785,50,60,60,-1,13,2.05439429560101,0
